book_id,book_title,category_id,author,book_copies,book_pub,publisher_name,isbn,copyright_year,date_receive,date_added,status,class,pages,p_price,nbook_issued,nlost,ndamage,bill_date
1,The Eyes of the Eagle,,Ruskin Bond,,,"Devendra Shr. Students Stores,Kashmere Gate",,1990,,,,491.433,82,12.5,VAL16,VAL17,VAL18,08-10-1992
2,Oliver Twist,,Charles Dickens,,,"Devendra Shr. Students Stores,Kashmere Gate",,1990,,,,491.433,48,8,,,,08-10-1992
3,The Adventure of Tom Sawyer,,Mark Twain,,,"Devendra Shr. Students Stores,Kashmere Gate",,1990,,,,491.433,94,12.5,,,,08-10-1992
4,Spell-IT,,Pratibha Nath,,,Blackie & Sons,,,,,,491.425,48,3,,,,08-10-1992
5,New Horizons book I,,A.F. Scott,,,S.G. Wasani for Macmillian India,,1968,,,,491.431,110,20.5,,,,08-10-1992
6,New Horizons book VI,,A.F. Scott,,,S.G. Wasani for Macmillian India,,1971,,,,491.431,173,27.25,,,,08-10-1992
7,Word Perfect Spelling-II,,Ronald Ridout,,,S.K. Mukherjee Oxford University Press,,1990,,,,491.425,44,14,,,,08-10-1992
8,Word Perfect Spelling-V,,Ronald Ridout,,,S.K. Mukherjee Oxford University Press,,1990,,,,491.425,61,18,,,,08-10-1992
9,Dolphin Reader,,D.G. Martis,,,"Neeta Prakashan Shanti Gupta,South Ex. New Delhi",,1987,,,,491.431,101,7,,,,08-10-1992
10,Modern English Reader & Workbook-II,,David Horsburgh,,,S.K. Mukherjee Oxford University Press,,1987,,,,491.431,49,5,,,,08-10-1992
11,New Horizons Book-IV,,A.F. Scott,,,S.G. Wasani for Macmillian India Limited,,1968,,,,491.431,160,24.25,,,,08-10-1992
12,Everyday English,,David Green,,,S.G. Wasani for Macmillian India Limited,,1973,,,,491.431,80,15.25,,,,08-10-1992
13,Stories of Mystery & Adventure,,Phalguni Dasgupta,,,Ratna Sagar Pvt. Ltd.,,1989,,,,491.433,77,18.9,,,,08-10-1992
14,The Story Teller book,,Pratibha Nath,,,Frank Bros. & Company Pvt. Chandni Chowk,,1981,,,,491.431,52,6.5,,,,08-10-1992
15,The Story Teller book-I,,Pratibha Nath,,,Frank Bros. & Company Pvt. Chandni Chowk,,1980,,,,491.431,53,7.5,,,,08-10-1992
16,The Story Teller book-II,,Pratibha Nath,,,Frank Bros. & Company Pvt. Chandni Chowk,,1980,,,,491.431,84,9.5,,,,08-10-1992
17,The Story Teller book-IV,,Pratibha Nath,,,Frank Bros. & Company Pvt. Chandni Chowk,,1975,,,,491.431,73,10,,,,08-10-1992
18,The Way we live,,Indira Narayana,,,"Orient Longman Ltd. Asaf Ali Road,Delhi",,1984,,,,491.431,172,15,,,,08-10-1992
19,Impact,,Mrs. R.Jaya,,,Scholar Publishing House,,1989,,,,491.431,44,9,,,,08-10-1992
20,Intergration,,Mrs. R.Jaya,,,Scholar Publishing House,,1989,,,,491.431,44,12,,,,08-10-1992
21,Inspirations,,Mrs. R.Jaya,,,Scholar Publishing House,,1989,,,,491.431,48,11,,,,08-10-1992
